rank,title,score,scored_by,members,year,genres,url
325,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.29,518760,894382,2021,Action|Comedy|Fantasy,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2
330,Beck,8.29,150088,372287,2004,Drama,https://myanimelist.net/anime/57/Beck
329,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.29,1030124,1697776,2011,Drama|Supernatural,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
321,Naruto: Shippuuden,8.29,1804566,2717170,2007,Action|Adventure|Fantasy,https://myanimelist.net/anime/1735/Naruto__Shippuuden
328,Yuukoku no Moriarty Part 2,8.29,135784,288367,2021,Mystery|Suspense,https://myanimelist.net/anime/43325/Yuukoku_no_Moriarty_Part_2
333,Diamond no Ace: Act II,8.28,50474,100650,2019,Sports,https://myanimelist.net/anime/38731/Diamond_no_Ace__Act_II
335,Kino no Tabi: The Beautiful World,8.28,105266,352260,2003,Adventure|Drama|Fantasy,https://myanimelist.net/anime/486/Kino_no_Tabi__The_Beautiful_World
343,Gin no Saji 2nd Season,8.27,94291,154537,2014,Comedy,https://myanimelist.net/anime/19363/Gin_no_Saji_2nd_Season
349,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",8.26,124961,251592,2024,Action|Adventure|Fantasy,https://myanimelist.net/anime/58572/Shangri-La_Frontier__Kusoge_Hunter_Kamige_ni_Idoman_to_su_2nd_Season
347,Kage no Jitsuryokusha ni Naritakute! 2nd Season,8.26,290049,518389,2023,Action|Comedy|Fantasy,https://myanimelist.net/anime/54595/Kage_no_Jitsuryokusha_ni_Naritakute_2nd_Season
351,Space☆Dandy 2nd Season,8.26,95510,181513,2014,Comedy|Sci-Fi,https://myanimelist.net/anime/23327/Space☆Dandy_2nd_Season
356,Dororo,8.26,693634,1361319,2019,Action|Adventure|Fantasy,https://myanimelist.net/anime/37520/Dororo
355,Yuru Camp△,8.26,238031,537874,2018,Slice of Life,https://myanimelist.net/anime/34798/Yuru_Camp△
350,Shirobako,8.26,149040,468794,2014,Award Winning|Comedy|Drama,https://myanimelist.net/anime/25835/Shirobako
